datetime,wind_power,wind_speed,solar_power,solar_irradiation,temperature
2015-01-02 09:00:00+00,5.5622575,6.425,0.042057197,0.009000008,10.74375
2015-01-02 09:15:00+00,4.72818,6.35,0.004334298,0.001750002,10.65625
2015-01-02 09:30:00+00,3.88466,6.25,0.003095927,0.001250001,10.56875
2015-01-02 09:45:00+00,3.04114,6.15,0.001857556,0.000750001,10.48125
2015-01-02 10:00:00+00,2.19762,6.05,0.000619185,0.00025,10.39375
2015-01-02 10:15:00+00,1.6393325,5.88125,0,0,10.3125
2015-01-02 10:30:00+00,1.3662775,5.64375,0,0,10.2375
2015-01-02 10:45:00+00,1.0932225,5.40625,0,0,10.1625
2015-01-02 11:00:00+00,0.8201675,5.16875,0,0,10.0875
2015-01-02 11:15:00+00,0.623845,4.9625,0,0,10.0125
2015-01-02 11:30:00+00,0.504255,4.7875,0,0,9.9375
2015-01-02 11:45:00+00,0.384665,4.6125,0,0,9.8625
2015-01-02 12:00:00+00,0.265075,4.4375,0,0,9.7875
2015-01-02 12:15:00+00,0.179995,4.275,0,0,9.7125
2015-01-02 12:30:00+00,0.129425,4.125,0,0,9.6375
2015-01-02 12:45:00+00,0.078855,3.975,0,0,9.5625
2015-01-02 13:00:00+00,0.028285,3.825,0,0,9.4875
2015-01-02 13:15:00+00,0.002625,3.66875,0,0,9.4125
2015-01-02 13:30:00+00,0.001875,3.50625,0,0,9.3375
2015-01-02 13:45:00+00,0.001125,3.34375,0,0,9.2625
2015-01-02 14:00:00+00,0.000375,3.18125,0,0,9.1875
2015-01-02 14:15:00+00,0,2.975,0,0,9.1125
2015-01-02 14:30:00+00,0,2.725,0,0,9.0375
2015-01-02 14:45:00+00,0,2.475,0,0,8.9625
2015-01-02 15:00:00+00,0,2.225,0,0,8.8875
2015-01-02 15:15:00+00,0,1.98125,0,0,8.825
2015-01-02 15:30:00+00,0,1.74375,0,0,8.775
2015-01-02 15:45:00+00,0,1.50625,0,0,8.725
2015-01-02 16:00:00+00,0,1.26875,0,0,8.675
2015-01-02 16:15:00+00,0,1.0875,0,0,8.6375
2015-01-02 16:30:00+00,0,0.9625,0,0,8.6125
2015-01-02 16:45:00+00,0,0.8375,0,0,8.5875
2015-01-02 17:00:00+00,0,0.7125,0,0,8.5625
2015-01-02 17:15:00+00,0,0.69375,0,0,8.5375
2015-01-02 17:30:00+00,0,0.78125,0,0,8.5125
2015-01-02 17:45:00+00,0,0.86875,0,0,8.4875
2015-01-02 18:00:00+00,0,0.95625,0,0,8.4625
2015-01-02 18:15:00+00,0,1.03125,0,0,8.4375
2015-01-02 18:30:00+00,0,1.09375,0,0,8.4125
2015-01-02 18:45:00+00,0,1.15625,0,0,8.3875
2015-01-02 19:00:00+00,0,1.21875,0,0,8.3625
2015-01-02 19:15:00+00,0,1.1875,0,0,8.3375
2015-01-02 19:30:00+00,0,1.0625,0,0,8.3125
2015-01-02 19:45:00+00,0,0.9375,0,0,8.2875
2015-01-02 20:00:00+00,0,0.8125,0,0,8.2625
2015-01-02 20:15:00+00,0,0.7,0,0,8.24375
2015-01-02 20:30:00+00,0,0.6,0,0,8.23125
2015-01-02 20:45:00+00,0,0.5,0,0,8.21875
2015-01-02 21:00:00+00,0,0.4,0,0,8.20625
2015-01-02 21:15:00+00,0,0.3375,0,0,8.2
2015-01-02 21:30:00+00,0,0.3125,0,0,8.2
2015-01-02 21:45:00+00,0,0.2875,0,0,8.2
2015-01-02 22:00:00+00,0,0.2625,0,0,8.2
2015-01-02 22:15:00+00,0,0.2875,0,0,8.2
2015-01-02 22:30:00+00,0,0.3625,0,0,8.2
2015-01-02 22:45:00+00,0,0.4375,0,0,8.2
2015-01-02 23:00:00+00,0,0.5125,0,0,8.2
2015-01-02 23:15:00+00,0,0.60625,0.116458569,0.010625009,8.2625
2015-01-02 23:30:00+00,0,0.71875,0.349375707,0.031875026,8.3875
2015-01-02 23:45:00+00,0,0.83125,0.582292845,0.053125042,8.5125
2015-01-03 00:00:00+00,0,0.94375,0.815209983,0.07437506,8.6375
2015-01-03 00:15:00+00,0,1.05625,1.071861603,0.103625083,8.85625
2015-01-03 00:30:00+00,0,1.16875,1.352247704,0.140875113,9.16875
2015-01-03 00:45:00+00,0,1.28125,1.632633805,0.178125142,9.48125
2015-01-03 01:00:00+00,0,1.39375,1.913019906,0.215375172,9.79375
2015-01-03 01:15:00+00,0.0234925,1.575,2.177360343,0.2503752,10.1375
2015-01-03 01:30:00+00,0.0704775,1.825,2.425655115,0.283125226,10.5125
2015-01-03 01:45:00+00,0.1174625,2.075,2.673949887,0.315875253,10.8875
2015-01-03 02:00:00+00,0.1644475,2.325,2.922244659,0.348625279,11.2625
2015-01-03 02:15:00+00,0.2111175,2.55625,3.123048918,0.365375292,11.625
2015-01-03 02:30:00+00,0.2574725,2.76875,3.276362665,0.366125293,11.975
2015-01-03 02:45:00+00,0.3038275,2.98125,3.429676412,0.366875293,12.325
2015-01-03 03:00:00+00,0.3501825,3.19375,3.582990159,0.367625294,12.675
2015-01-03 03:15:00+00,0.39218,3.34375,3.682258073,0.376500301,12.99375
2015-01-03 03:30:00+00,0.42982,3.43125,3.727480155,0.393500315,13.28125
2015-01-03 03:45:00+00,0.46746,3.51875,3.772702236,0.410500328,13.56875
2015-01-03 04:00:00+00,0.5051,3.60625,3.817924318,0.427500342,13.85625
2015-01-03 04:15:00+00,0.4932875,3.6625,3.834774493,0.431375345,14.10625
2015-01-03 04:30:00+00,0.4320225,3.6875,3.82325276,0.422125338,14.31875
2015-01-03 04:45:00+00,0.3707575,3.7125,3.811731028,0.41287533,14.53125
2015-01-03 05:00:00+00,0.3094925,3.7375,3.800209295,0.403625323,14.74375
2015-01-03 05:15:00+00,0.29051,3.69375,3.743147987,0.40000032,14.9125
2015-01-03 05:30:00+00,0.31381,3.58125,3.640547103,0.402000322,15.0375
2015-01-03 05:45:00+00,0.33711,3.46875,3.537946218,0.404000323,15.1625
2015-01-03 06:00:00+00,0.36041,3.35625,3.435345334,0.406000325,15.2875
2015-01-03 06:15:00+00,0.4808425,3.29375,3.28540191,0.389125312,15.3625
2015-01-03 06:30:00+00,0.6984075,3.28125,3.088115945,0.353375283,15.3875
2015-01-03 06:45:00+00,0.9159725,3.26875,2.89082998,0.317625254,15.4125
2015-01-03 07:00:00+00,1.1335375,3.25625,2.693544015,0.281875225,15.4375
2015-01-03 07:15:00+00,1.5257375,3.35625,2.417078464,0.245500196,15.4
2015-01-03 07:30:00+00,2.0925725,3.56875,2.061433325,0.208500167,15.3
2015-01-03 07:45:00+00,2.6594075,3.78125,1.705788187,0.171500137,15.2
2015-01-03 08:00:00+00,3.2262425,3.99375,1.350143048,0.134500108,15.1
2015-01-03 08:15:00+00,3.66163,4.25,1.027964089,0.101750082,14.94375
2015-01-03 08:30:00+00,3.96557,4.55,0.739251309,0.073250059,14.73125
2015-01-03 08:45:00+00,4.26951,4.85,0.45053853,0.044750036,14.51875
